title,date,url,image_url
"Star Chevron gas station, Bank Street, New London, Connecticut",1984,https://www.loc.gov/pictures/item/2017702152/,https://cdn.loc.gov/service/pnp/mrg/00000/00036v.jpg
"Mattoon Service Station (pre-fabricated), angle view, National & Washington Boulevards, Culver City, California",1977,https://www.loc.gov/pictures/item/2017702153/,https://cdn.loc.gov/service/pnp/mrg/00000/00037v.jpg
"Richfield Gas, Route 66, Cucamonga, California",1978,https://www.loc.gov/pictures/item/2017702154/,https://cdn.loc.gov/service/pnp/mrg/00000/00038v.jpg
"Fina gas station, angle view, Route 17, Kingsland, Georgia",1979,https://www.loc.gov/pictures/item/2017702155/,https://cdn.loc.gov/service/pnp/mrg/00000/00039v.jpg
"Skip's Skelly Service, straight-on view, S. 38th Street, Omaha, Nebraska",1980,https://www.loc.gov/pictures/item/2017702156/,https://cdn.loc.gov/service/pnp/mrg/00000/00040v.jpg
"Old gas station (Tower-Lite Restaurant and Tavern), St. Joseph Avenue, Evansville, Indiana",1988,https://www.loc.gov/pictures/item/2017702157/,https://cdn.loc.gov/service/pnp/mrg/00000/00041v.jpg
"Welcome Travelers gas station, straight-on view, New Laredo Highway, San Antonio, Texas",1982,https://www.loc.gov/pictures/item/2017702158/,https://cdn.loc.gov/service/pnp/mrg/00000/00042v.jpg
"Ray Rogers Mobil gas station (1933), straight-on view, Broadway, San Antonio, Texas",1982,https://www.loc.gov/pictures/item/2017702159/,https://cdn.loc.gov/service/pnp/mrg/00000/00043v.jpg
"Gas station wreck, Route 80, Simsboro, Louisiana",1982,https://www.loc.gov/pictures/item/2017702160/,https://cdn.loc.gov/service/pnp/mrg/00000/00044v.jpg
"FC. Harbor gas station wreck, Route 8, Tremont, Mississippi",1980,https://www.loc.gov/pictures/item/2017702161/,https://cdn.loc.gov/service/pnp/mrg/00000/00045v.jpg
"Gas station at Apache Canyon Trading Post, Routes 62 & 180, Whites City, New Mexico",1993,https://www.loc.gov/pictures/item/2017702162/,https://cdn.loc.gov/service/pnp/mrg/00000/00046v.jpg
